Name,Short Abrivated Name,Strength_mg,Vial_mL,Diluent,Concentration,Dose Range,KB Dose Range,KB Frequency,KB Recon Example,KB Notes,KB Source
"Adamax 1032da (with adamantane)","ADMX",10,3,"1 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"Adamax 984da (without adamantane)","ADMX",10,3,"1 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"Adipotide/FTTP","ADIP",2,3,"0.8 mL","2.5 mg/mL","0.25 - 0.5 mg (10 - 20 u)","","","","",""
"Adipotide/FTTP","ADIP",5,3,"2 mL","2.5 mg/mL","0.25 - 0.5 mg (10 - 20 u)","","","","",""
"Adipotide/FTTP","ADIP",10,3,"1 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"AHK CU","AHK",50,3,"5 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"AHK CU","AHK",100,3,"10 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"AHK-CU","AHK",50,3,"5 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"AHK-CU","AHK",100,3,"10 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"Aicar","AICAR",50,3,"5 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"Aicar","AICAR",100,3,"10 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"AOD9604","AOD",2,3,"0.67 mL","2.99 mg/mL","0.3 - 0.6 mg (10 - 20 u)","0.3 - 0.5 mg/day","daily","","","https://www.peptidedosingprotocols.com/"
"AOD9604","AOD",5,3,"1.67 mL","2.99 mg/mL","0.3 - 0.6 mg (10 - 20 u)","0.3 - 0.5 mg/day","daily","","","https://www.peptidedosingprotocols.com/"
"AOD9604","AOD",10,3,"3.33 mL","3 mg/mL","0.3 - 0.6 mg (10 - 20 u)","0.3 - 0.5 mg/day","daily","","","https://www.peptidedosingprotocols.com/"
"ARA-290","ARA",10,3,"1 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"ARA290 (Cibinetide)","ARA",10,3,"1 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"ARA290 (Cibinetide)","ARA",16,3,"1.6 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"B12(Methylcobalamin) 1mg","B12",10,10,"1 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"BAC WATER","BAC",3,3,"—","—","—","","","","",""
"BAC WATER","BAC",10,3,"—","—","—","","","","",""
"Bac.water","BAC",0,3,"—","—","—","","","","",""
"Botulinum toxin","BTX",100,3,"10 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"BPC 10mg + TB 10mg","B+TB",10,3,"4 mL","2.5 mg/mL","0.25 - 0.5 mg (10 - 20 u)","0.25 - 0.5 mg/day ea","daily","Common: 10 mg + 2 mL → 500 mcg = 10 u","Wolverine / BPC+TB stack","https://www.peptidedosingprotocols.com/"
"BPC 5mg + TB 5mg","B+TB",5,3,"2 mL","2.5 mg/mL","0.25 - 0.5 mg (10 - 20 u)","0.25 - 0.5 mg/day ea","daily","Common: 10 mg + 2 mL → 500 mcg = 10 u","Wolverine / BPC+TB stack","https://www.peptidedosingprotocols.com/"
"BPC157","BPC157",5,3,"2 mL","2.5 mg/mL","0.25 - 0.5 mg (10 - 20 u)","0.25 - 0.5 mg/day","daily","Common: 10 mg + 2 mL BAC → 500 mcg = 10 u","PDP: 250–500 mcg/day","https://www.peptidedosingprotocols.com/"
"BPC157","BPC157",10,3,"4 mL","2.5 mg/mL","0.25 - 0.5 mg (10 - 20 u)","0.25 - 0.5 mg/day","daily","Common: 10 mg + 2 mL BAC → 500 mcg = 10 u","PDP: 250–500 mcg/day","https://www.peptidedosingprotocols.com/"
"BPC-157","BPC157",2,3,"0.8 mL","2.5 mg/mL","0.25 - 0.5 mg (10 - 20 u)","0.25 - 0.5 mg/day","daily","Common: 10 mg + 2 mL BAC → 500 mcg = 10 u","PDP: 250–500 mcg/day","https://www.peptidedosingprotocols.com/"
"BPC-157","BPC157",5,3,"2 mL","2.5 mg/mL","0.25 - 0.5 mg (10 - 20 u)","0.25 - 0.5 mg/day","daily","Common: 10 mg + 2 mL BAC → 500 mcg = 10 u","PDP: 250–500 mcg/day","https://www.peptidedosingprotocols.com/"
"BPC-157","BPC157",10,3,"4 mL","2.5 mg/mL","0.25 - 0.5 mg (10 - 20 u)","0.25 - 0.5 mg/day","daily","Common: 10 mg + 2 mL BAC → 500 mcg = 10 u","PDP: 250–500 mcg/day","https://www.peptidedosingprotocols.com/"
"Cagri sema (10mg+10mg)","C+S",20,3,"8 mL","2.5 mg/mL","0.25 - 0.5 mg (10 - 20 u)","CagriSema stack — see protocol","weekly","","Cagrilintide + Semaglutide combination","https://www.peptidedosingprotocols.com/"
"Cagri sema (2.5mg+2.5mg)","C+S",5,3,"2 mL","2.5 mg/mL","0.25 - 0.5 mg (10 - 20 u)","CagriSema stack — see protocol","weekly","","Cagrilintide + Semaglutide combination","https://www.peptidedosingprotocols.com/"
"Cagri sema (5mg+5mg)","C+S",10,3,"4 mL","2.5 mg/mL","0.25 - 0.5 mg (10 - 20 u)","CagriSema stack — see protocol","weekly","","Cagrilintide + Semaglutide combination","https://www.peptidedosingprotocols.com/"
"Cagrilintide","CARGI",2,3,"0.8 mL","2.5 mg/mL","0.25 - 0.5 mg (10 - 20 u)","1.2 - 4.5 mg/week","weekly","","Amylin analog","https://www.peptidedosingprotocols.com/"
"Cagrilintide","CARGI",5,3,"2 mL","2.5 mg/mL","0.25 - 0.5 mg (10 - 20 u)","1.2 - 4.5 mg/week","weekly","","Amylin analog","https://www.peptidedosingprotocols.com/"
"Cagrilintide","CARGI",10,3,"4 mL","2.5 mg/mL","0.25 - 0.5 mg (10 - 20 u)","1.2 - 4.5 mg/week","weekly","","Amylin analog","https://www.peptidedosingprotocols.com/"
"Cagrilintide","CARGI",20,3,"8 mL","2.5 mg/mL","0.25 - 0.5 mg (10 - 20 u)","1.2 - 4.5 mg/week","weekly","","Amylin analog","https://www.peptidedosingprotocols.com/"
"Cardiogen","CARD",20,3,"2 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"Cartalax","CART",20,3,"2 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"Cerebrolysin","CERE",60,3,"6 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"Cerebrolysin 60","CERE",60,3,"6 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"CJC-1295","CJC",2,3,"2 mL","1 mg/mL","0.1 - 0.2 mg (10 - 20 u)","0.1 mg 2–3x/day","2–3x daily","","no DAC / Mod GRF","https://www.peptidedosingprotocols.com/"
"CJC-1295","CJC",5,3,"5 mL","1 mg/mL","0.1 - 0.2 mg (10 - 20 u)","0.1 mg 2–3x/day","2–3x daily","","no DAC / Mod GRF","https://www.peptidedosingprotocols.com/"
"CJC-1295","CJC",10,3,"10 mL","1 mg/mL","0.1 - 0.2 mg (10 - 20 u)","0.1 mg 2–3x/day","2–3x daily","","no DAC / Mod GRF","https://www.peptidedosingprotocols.com/"
"CJC-1295 / Ipamorelin","CJC/IPA",10,3,"10 mL","1 mg/mL","0.1 - 0.2 mg (10 - 20 u)","0.1 mg ea 2–3x/day","2–3x daily","","CJC/IPA pulse stack","https://www.peptidedosingprotocols.com/"
"CJC-1295 Whitout DAC","CJC",5,3,"5 mL","1 mg/mL","0.1 - 0.2 mg (10 - 20 u)","0.1 mg 2–3x/day","2–3x daily","","no DAC / Mod GRF","https://www.peptidedosingprotocols.com/"
"CJC-1295 with DAC","CJCD",2,3,"0.2 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","1 - 2 mg/week","1–2x weekly","","with DAC","https://www.peptidedosingprotocols.com/"
"CJC-1295 with DAC","CJCD",5,3,"0.5 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","1 - 2 mg/week","1–2x weekly","","with DAC","https://www.peptidedosingprotocols.com/"
"CJC-1295 without DAC","CJC",10,3,"10 mL","1 mg/mL","0.1 - 0.2 mg (10 - 20 u)","0.1 mg 2–3x/day","2–3x daily","","no DAC / Mod GRF","https://www.peptidedosingprotocols.com/"
"CJC-1295 without DAC + Ipamorelin","CJC/IPA",10,3,"10 mL","1 mg/mL","0.1 - 0.2 mg (10 - 20 u)","0.1 mg ea 2–3x/day","2–3x daily","","CJC/IPA pulse stack","https://www.peptidedosingprotocols.com/"
"Cortagen","CORT",20,3,"2 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"CP20","CP20",20,3,"2 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"Crystagen","CRYS",20,3,"2 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"Dermorphin","DERM",2,3,"0.8 mL","2.5 mg/mL","0.25 - 0.5 mg (10 - 20 u)","","","","",""
"Dermorphin","DERM",10,3,"1 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"Dihexa","DIHX",10,3,"1 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"DSIP","DSIP",2,3,"2 mL","1 mg/mL","0.1 - 0.2 mg (10 - 20 u)","0.1 - 0.3 mg evening","evening","","","https://www.peptidedosingprotocols.com/"
"DSIP","DSIP",5,3,"5 mL","1 mg/mL","0.1 - 0.2 mg (10 - 20 u)","0.1 - 0.3 mg evening","evening","","","https://www.peptidedosingprotocols.com/"
"DSIP","DSIP",10,3,"10 mL","1 mg/mL","0.1 - 0.2 mg (10 - 20 u)","0.1 - 0.3 mg evening","evening","","","https://www.peptidedosingprotocols.com/"
"Eloralintide","ELOR",10,3,"1 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"Eloralintide","ELOR",15,3,"1.5 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"Epitalon","EPIT",10,3,"2 mL","5 mg/mL","0.5 - 1 mg (10 - 20 u)","5 - 10 mg/day (cycle)","cycle","","Open DB default ~10 mg cycle","open peptide-database"
"Epitalon","EPIT",50,3,"10 mL","5 mg/mL","0.5 - 1 mg (10 - 20 u)","5 - 10 mg/day (cycle)","cycle","","Open DB default ~10 mg cycle","open peptide-database"
"Epithalon","EPIT",10,3,"2 mL","5 mg/mL","0.5 - 1 mg (10 - 20 u)","5 - 10 mg/day (cycle)","cycle","","Open DB default ~10 mg cycle","open peptide-database"
"Epithalon","EPIT",50,3,"10 mL","5 mg/mL","0.5 - 1 mg (10 - 20 u)","5 - 10 mg/day (cycle)","cycle","","Open DB default ~10 mg cycle","open peptide-database"
"EPO","EPO",3000,3,"300 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"Follistatin 344","FOLL",0,3,"—","—","—","","","","",""
"FOX04-Dir","FOX4",10,3,"1 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","~1 mg (open DB default)","cycle","","","open peptide-database"
"FOX04-DRI","FOX4",2,3,"0.2 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","~1 mg (open DB default)","cycle","","","open peptide-database"
"FOX04-DRI","FOX4",10,3,"1 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","~1 mg (open DB default)","cycle","","","open peptide-database"
"GDF-8","GDF8",1,3,"0.4 mL","2.5 mg/mL","0.25 - 0.5 mg (10 - 20 u)","","","","",""
"GHK BASIC","GHK",50,3,"5 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","1 - 2 mg/day","daily","","Copper peptide","https://www.peptidedosingprotocols.com/"
"GHK-Cu","GHK",50,3,"5 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","1 - 2 mg/day","daily","","Copper peptide","https://www.peptidedosingprotocols.com/"
"GHK-Cu","GHK",100,3,"10 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","1 - 2 mg/day","daily","","Copper peptide","https://www.peptidedosingprotocols.com/"
"GHRP-2","GHRP2",5,3,"2 mL","2.5 mg/mL","0.25 - 0.5 mg (10 - 20 u)","","","","",""
"GHRP-2","GHRP2",10,3,"1 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"GHRP-2","GHRP2",15,3,"1.5 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"GHRP-2 Acetate","GHRP2",5,3,"2 mL","2.5 mg/mL","0.25 - 0.5 mg (10 - 20 u)","","","","",""
"GHRP-2 Acetate","GHRP2",10,3,"1 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"GHRP-6","GHRP6",5,3,"2 mL","2.5 mg/mL","0.25 - 0.5 mg (10 - 20 u)","","","","",""
"GHRP-6","GHRP6",10,3,"1 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"GHRP-6 Acetate","GHRP6",5,3,"2 mL","2.5 mg/mL","0.25 - 0.5 mg (10 - 20 u)","","","","",""
"GHRP-6 Acetate","GHRP6",10,3,"1 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"GLOW","GLOW",70,3,"7 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","~1.67 mg/day blend","daily","Common: 70 mg + 3 mL","BPC+GHK-Cu+TB500","https://www.peptidedosingprotocols.com/"
"GLOW(BPC 157 10mg+GHK-CU50mg+TB500 10mg)","GLOW",70,3,"28 mL","2.5 mg/mL","0.25 - 0.5 mg (10 - 20 u)","0.25 - 0.5 mg/day ea","daily","Common: 10 mg + 2 mL → 500 mcg = 10 u","Wolverine / BPC+TB stack","https://www.peptidedosingprotocols.com/"
"Glutathione","GLUTA",600,10,"0.3 mL","2000 mg/mL","200 - 400 mg (10 - 20 u)","600 mg (open DB default)","weekly IM","","","open peptide-database"
"Glutathione","GLUTA",1200,10,"0.6 mL","2000 mg/mL","200 - 400 mg (10 - 20 u)","600 mg (open DB default)","weekly IM","","","open peptide-database"
"Glutathione","GLUTA",1500,10,"0.75 mL","2000 mg/mL","200 - 400 mg (10 - 20 u)","600 mg (open DB default)","weekly IM","","","open peptide-database"
"Gonadorelin Acetate","GONA",2,3,"0.1 mL","20 mg/mL","2 - 4 mg (10 - 20 u)","50 - 100 mg 2–3x/week","2–3x weekly","","","https://www.peptidedosingprotocols.com/"
"Gonadorelin Acetate","GONA",5,3,"0.1 mL","50 mg/mL","5 - 10 mg (10 - 20 u)","50 - 100 mg 2–3x/week","2–3x weekly","","","https://www.peptidedosingprotocols.com/"
"HCG","HCG",2000,3,"200 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"HCG","HCG",5000,3,"500 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"HCG","HCG",10000,3,"1000 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"Hexarelin Acetate","HEXA",5,3,"2 mL","2.5 mg/mL","0.25 - 0.5 mg (10 - 20 u)","","","","",""
"HGH","HGH",62,3,"3.1 mL","20 IU/mL","2 - 4 IU (10 - 20 u)","","","","",""
"HGH","HGH",150,3,"3 mL","50 IU/mL","5 - 10 IU (10 - 20 u)","","","","",""
"HGH","HGH",310,3,"6.2 mL","50 IU/mL","5 - 10 IU (10 - 20 u)","","","","",""
"HGH (Somatropin)","HGH",10,3,"0.5 mL","20 IU/mL","2 - 4 IU (10 - 20 u)","","","","",""
"HGH (Somatropin)","HGH",24,3,"1.2 mL","20 IU/mL","2 - 4 IU (10 - 20 u)","","","","",""
"HGH (Somatropin)","HGH",36,3,"1.8 mL","20 IU/mL","2 - 4 IU (10 - 20 u)","","","","",""
"HGH Fragment 176-191","HGHF",1,3,"0.05 mL","20 IU/mL","2 - 4 IU (10 - 20 u)","","","","",""
"HGH Fragment 176-191","HGHF",2,3,"0.1 mL","20 IU/mL","2 - 4 IU (10 - 20 u)","","","","",""
"HGH Fragment 176-191","HGHF",5,3,"0.25 mL","20 IU/mL","2 - 4 IU (10 - 20 u)","","","","",""
"HGH Fragment 176-191","HGHF",10,3,"0.5 mL","20 IU/mL","2 - 4 IU (10 - 20 u)","","","","",""
"HHB（HEALTHY HAIR SKIN NAILS BLEND）","HHB",10,3,"1 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"HMG","HMG",75,3,"7.5 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"Human Blend: L-Arginine 110mg/10ml L-Ornithin 110m","HBLD",0,3,"—","—","—","","","","",""
"Humanin","HUMN",10,3,"1 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"IGF-1 LR3","IGF1",0.1,3,"0.5 mL","0.2 mg/mL","0.02 - 0.04 mg (10 - 20 u)","20 - 60 mcg/day","daily","","","https://www.peptidedosingprotocols.com/"
"IGF-1 LR3","IGF1",1,3,"5 mL","0.2 mg/mL","0.02 - 0.04 mg (10 - 20 u)","20 - 60 mcg/day","daily","","","https://www.peptidedosingprotocols.com/"
"IGF-1LR3","IGF1",0.1,3,"0.5 mL","0.2 mg/mL","0.02 - 0.04 mg (10 - 20 u)","20 - 60 mcg/day","daily","","","https://www.peptidedosingprotocols.com/"
"IGF-1LR3","IGF1",1,3,"5 mL","0.2 mg/mL","0.02 - 0.04 mg (10 - 20 u)","20 - 60 mcg/day","daily","","","https://www.peptidedosingprotocols.com/"
"Ipamorelin","IPA",2,3,"2 mL","1 mg/mL","0.1 - 0.2 mg (10 - 20 u)","0.2 - 0.3 mg 2–3x/day","2–3x daily","","","https://www.peptidedosingprotocols.com/"
"Ipamorelin","IPA",5,3,"5 mL","1 mg/mL","0.1 - 0.2 mg (10 - 20 u)","0.2 - 0.3 mg 2–3x/day","2–3x daily","","","https://www.peptidedosingprotocols.com/"
"Ipamorelin","IPA",10,3,"10 mL","1 mg/mL","0.1 - 0.2 mg (10 - 20 u)","0.2 - 0.3 mg 2–3x/day","2–3x daily","","","https://www.peptidedosingprotocols.com/"
"KissPeptin-10","KISS",5,3,"2 mL","2.5 mg/mL","0.25 - 0.5 mg (10 - 20 u)","","","","",""
"KissPeptin-10","KISS",10,3,"1 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"Kisspetin-10","KISS",5,3,"2 mL","2.5 mg/mL","0.25 - 0.5 mg (10 - 20 u)","","","","",""
"Kisspetin-10","KISS",10,3,"1 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"KLOW","KLOW",80,3,"3.2 mL","25 mg/mL","2.5 - 5 mg (10 - 20 u)","~1.67 - 2.5 mg/day blend","daily","Ref label: 80 mg + 3.2 mL → 2.5 mg = 10 u","GHK-Cu+BPC+TB+KPV / TB+KPV kit","https://www.peptidedosingprotocols.com/ · Undisclosed KLOW label"
"KLOW(GHK-Cu 50mg+BPC157 10mg+TB500 10mg+KPV 10mg)","KLOW",80,3,"3.2 mL","25 mg/mL","2.5 - 5 mg (10 - 20 u)","~1.67 - 2.5 mg/day blend","daily","Ref label: 80 mg + 3.2 mL → 2.5 mg = 10 u","GHK-Cu+BPC+TB+KPV / TB+KPV kit","https://www.peptidedosingprotocols.com/ · Undisclosed KLOW label"
"KPV","KPV",5,3,"2.5 mL","2 mg/mL","0.2 - 0.4 mg (10 - 20 u)","0.2 - 0.5 mg/day","daily","","","https://www.peptidedosingprotocols.com/"
"KPV","KPV",10,3,"5 mL","2 mg/mL","0.2 - 0.4 mg (10 - 20 u)","0.2 - 0.5 mg/day","daily","","","https://www.peptidedosingprotocols.com/"
"KPV","KPV",30,3,"15 mL","2 mg/mL","0.2 - 0.4 mg (10 - 20 u)","0.2 - 0.5 mg/day","daily","","","https://www.peptidedosingprotocols.com/"
"LC526（FatBLaster)","LC526",10,3,"1 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"L-carnitine","CARN",200,3,"20 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"L-carnitine","CARN",400,3,"40 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"L-carnitine","CARN",600,3,"60 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"L-carnitine","CARN",1200,3,"120 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"L-carnitine","CARN",2000,3,"200 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"L-carnitine","CARN",5000,3,"500 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"Lemon bottle","LEMN",10,3,"1 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"Lipo-c","LIPO",10,3,"1 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"Lipo-C with B12","LIPO+",10,10,"1 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"Lipo-C without B12","LIPO",10,10,"1 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"Liraglutide","LIRA",5,3,"0.83 mL","6.02 mg/mL","0.6 - 1.2 mg (10 - 20 u)","up to 1.8 - 3 mg/day","daily","","","open peptide-database"
"Liraglutide","LIRA",10,3,"1.67 mL","5.99 mg/mL","0.6 - 1.2 mg (10 - 20 u)","up to 1.8 - 3 mg/day","daily","","","open peptide-database"
"LL37","LL37",5,3,"2 mL","2.5 mg/mL","0.25 - 0.5 mg (10 - 20 u)","","","","",""
"LL37","LL37",10,3,"1 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"LL-37","LL37",5,3,"2 mL","2.5 mg/mL","0.25 - 0.5 mg (10 - 20 u)","","","","",""
"Matrixyl","MATRX",10,3,"1 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"Mazdutide","MAZD",5,3,"0.5 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","~6 mg/week (open DB default)","weekly","","","open peptide-database"
"Mazdutide","MAZD",10,3,"1 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","~6 mg/week (open DB default)","weekly","","","open peptide-database"
"Melanotan","MT",10,3,"4 mL","2.5 mg/mL","0.25 - 0.5 mg (10 - 20 u)","0.25 - 0.5 mg 2–3x/week","2–3x weekly","","","https://www.peptidedosingprotocols.com/"
"Melanotan 1","MT1",10,3,"4 mL","2.5 mg/mL","0.25 - 0.5 mg (10 - 20 u)","0.25 - 0.5 mg 2–3x/week","2–3x weekly","","","https://www.peptidedosingprotocols.com/"
"Melanotan 2","MT2",10,3,"4 mL","2.5 mg/mL","0.25 - 0.5 mg (10 - 20 u)","0.25 - 0.5 mg 2–3x/week","2–3x weekly","","","https://www.peptidedosingprotocols.com/"
"Melanotan Il","MT2",10,3,"4 mL","2.5 mg/mL","0.25 - 0.5 mg (10 - 20 u)","0.25 - 0.5 mg 2–3x/week","2–3x weekly","","","https://www.peptidedosingprotocols.com/"
"MelanotanI","MT1",10,3,"4 mL","2.5 mg/mL","0.25 - 0.5 mg (10 - 20 u)","0.25 - 0.5 mg 2–3x/week","2–3x weekly","","","https://www.peptidedosingprotocols.com/"
"Melatonin","MELA",10,3,"1 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"MGF","MGF",2,3,"0.8 mL","2.5 mg/mL","0.25 - 0.5 mg (10 - 20 u)","","","","",""
"MIC(lipo C with B12)","MIC",10,10,"1 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"MOTS-c","MOTS",10,3,"0.2 mL","50 mg/mL","5 - 10 mg (10 - 20 u)","5 - 10 mg 2–3x/week","2–3x weekly","","","https://www.peptidedosingprotocols.com/"
"MOTS-c","MOTS",15,3,"0.3 mL","50 mg/mL","5 - 10 mg (10 - 20 u)","5 - 10 mg 2–3x/week","2–3x weekly","","","https://www.peptidedosingprotocols.com/"
"MOTS-c","MOTS",20,3,"0.4 mL","50 mg/mL","5 - 10 mg (10 - 20 u)","5 - 10 mg 2–3x/week","2–3x weekly","","","https://www.peptidedosingprotocols.com/"
"MOTS-c","MOTS",40,3,"0.8 mL","50 mg/mL","5 - 10 mg (10 - 20 u)","5 - 10 mg 2–3x/week","2–3x weekly","","","https://www.peptidedosingprotocols.com/"
"NAD+","NAD",100,10,"0.2 mL","500 mg/mL","50 - 100 mg (10 - 20 u)","50 - 100 mg 2–3x/week","2–3x weekly","","","https://www.peptidedosingprotocols.com/"
"NAD+","NAD",500,10,"1 mL","500 mg/mL","50 - 100 mg (10 - 20 u)","50 - 100 mg 2–3x/week","2–3x weekly","","","https://www.peptidedosingprotocols.com/"
"NAD+","NAD",1000,10,"2 mL","500 mg/mL","50 - 100 mg (10 - 20 u)","50 - 100 mg 2–3x/week","2–3x weekly","","","https://www.peptidedosingprotocols.com/"
"NA-Semax","NASEM",5,3,"1.67 mL","2.99 mg/mL","0.3 - 0.6 mg (10 - 20 u)","0.2 - 0.6 mg/day","daily nasal/SubQ","","","https://www.peptidedosingprotocols.com/"
"NA-Semax","NASEM",10,3,"3.33 mL","3 mg/mL","0.3 - 0.6 mg (10 - 20 u)","0.2 - 0.6 mg/day","daily nasal/SubQ","","","https://www.peptidedosingprotocols.com/"
"Oxytocin Acetate","OXY",2,3,"0.8 mL","2.5 mg/mL","0.25 - 0.5 mg (10 - 20 u)","","","","",""
"Oxytocin Acetate","OXY",5,3,"2 mL","2.5 mg/mL","0.25 - 0.5 mg (10 - 20 u)","","","","",""
"Oxytocin Acetate","OXY",10,3,"1 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"P21 (P021)","P21",5,3,"2 mL","2.5 mg/mL","0.25 - 0.5 mg (10 - 20 u)","","","","",""
"PE-22-28","PE22",5,3,"2 mL","2.5 mg/mL","0.25 - 0.5 mg (10 - 20 u)","","","","",""
